video_id,title,publishedAt,views,likes,comments,like_ratio,publish_hour,publish_day
gZwPdqC2Os0,#48 Python Tutorial for Beginners | Object Oriented Programming | Introduction,2018-08-14 15:43:52+00:00,500177,9582,248,0.019157218344705976,15,Tuesday
tZO6AxKCQ7s,python tutorial Arithmetic operators,2023-06-27 07:44:46+00:00,50,0,0,0.0,7,Tuesday
3J1xBL7zJXg,Python do ZERO ao JÚNIOR - Os vendedores de curso CHORAM | Rápido & Sem enrolação,2023-08-15 15:00:07+00:00,804992,53713,1847,0.06672488670694864,15,Tuesday
kdLM6AOd2vc,OpenCV Python Tutorial For Beginners 1 - Introduction to OpenCV,2019-02-04 22:13:57+00:00,637597,5629,82,0.008828460610699234,22,Monday
GmdGv5ndX54,Python For Beginners in Telugu [PART 1] || Code with Swaroop || Zero to Hero || Introduction,2024-01-01 14:57:42+00:00,1124274,45988,2966,0.04090461933656742,14,Monday
pKEjmiH_4RA,#5 - Create python script with IDLE shell | Python Tutorial | Praveen Kumar,2023-03-22 19:31:53+00:00,231761,2950,47,0.012728629924793214,19,Wednesday
HGOBQPFzWKo,Intermediate Python Programming Course,2020-08-27 17:23:03+00:00,4169710,88674,1957,0.021266227147691327,17,Thursday
UrsmFxEIp5k,Python Tutorial For Beginners in Hindi | Complete Python Course 🔥,2024-06-16 05:36:24+00:00,13575585,287159,37965,0.021152605946631396,5,Sunday
qiSCMNBIP2g,OOP in Python | Object Oriented Programming,2018-11-17 15:07:38+00:00,1978380,36600,1418,0.018499984836078003,15,Saturday
dJI5NY8aZxs,Python Animation Tutorial #python #shorts #coding #cool,2025-03-13 10:16:22+00:00,38,2,0,0.05263157894736842,10,Thursday
GqHLztqy0PU,#64 Python Tutorial for Beginners | MultiThreading,2018-09-12 10:58:12+00:00,488408,11399,556,0.02333909354474128,10,Wednesday
IEEhzQoKtQU,Python Threading Tutorial: Run Code Concurrently Using the Threading Module,2019-09-12 14:30:01+00:00,888092,21958,740,0.024724915887092778,14,Thursday
QVdf0LgmICw,Python Tutorial: Variable Scope - Understanding the LEGB rule and global/nonlocal statements,2016-12-20 17:30:00+00:00,387343,11345,367,0.029289286239844274,17,Tuesday
vmEHCJofslg,"Complete Python Pandas Data Science Tutorial! (Reading CSV/Excel files, Sorting, Filtering, Groupby)",2018-10-26 00:10:07+00:00,3432847,74921,2120,0.021824741970731584,0,Friday
EXIgjIBu4EU,Learn Pandas in 30 Minutes - Python Pandas Tutorial,2025-08-06 14:00:18+00:00,47095,1539,60,0.03267862830449092,14,Wednesday
gCCVsvgR2KU,#10 Python Tutorial for Beginners | Data Types in Python,2018-07-05 09:47:27+00:00,1708796,26993,1059,0.015796502332636547,9,Thursday
